client_id,is_customer
3331254,0
3331341,0
3331458,0
3331530,0
3332589,0
3332727,0
3332979,0
3333048,0
3333312,0
3333834,0
3333888,0
3334131,0
3334137,0
3334734,0
3334965,0
3335646,0
3336009,0
3336600,0
3336891,0
3337236,0
3337323,0
3337470,0
3337590,0
3337869,0
3338283,0
3339174,0
3339408,0
3340122,0
3340338,0
3341244,0
3341907,0
3342012,0
3342129,0
3342204,0
3342228,0
3342594,0
3342621,0
3342924,0
3343149,0
3343680,0
3344079,0
3345210,0
3345489,0
3345615,0
3346017,0
3346104,0
3346113,0
3346203,0
3346302,1
3347079,0
3347916,0
3349026,0
3349287,1
3350130,0
3350418,0
3351066,0
3351444,0
3351639,0
3351840,0
3351939,0
3352164,0
3352701,0
3352740,0
3353418,0
3354081,0
3354582,0
3354630,0
3354876,0
3355260,0
3355947,0
3356301,0
3356781,0
3357063,0
3358119,0
3358629,0
3358665,0
3359016,0
3359298,0
3360078,0
3361020,0
3361236,0
3361863,0
3361893,0
3362934,0
3363024,0
3364002,0
3364614,0
3365040,0
3365175,0
3365238,0
3365346,0
3365631,0
3365904,0
3366666,0
3367638,0
3368949,0
3369420,0
3369711,0
3370263,0
3370821,0
3371613,0
3371841,0
3371868,0
3372072,0
3372609,0
3373011,0
3373113,1
3373122,0
3373209,0
3373737,0
3373773,0
3374175,0
3374457,0
3374733,0
3374796,0
3375480,0
3375615,0
3376098,0
3376191,0
3376194,0
3376422,0
3376755,0
3376929,0
3377784,0
3378987,0
3379779,0
3380043,0
3380358,1
3381261,0
3381672,0
3381870,0
3381912,0
3382293,0
3382524,0
3382704,0
3384981,0
3385362,0
3385569,0
3385614,0
3386139,0
3386286,0
3386649,0
3387279,0
3387714,0
3387864,0
3388050,0
3388458,0
3388797,0
3388860,0
3388914,0
3389790,0
3390321,0
3390354,0
3390597,0
3390783,0
3392391,1
3393195,0
3393978,0
3394581,0
3394959,0
3395064,0
3395952,0
3396990,0
3398310,0
3398532,0
3398535,0
3398823,0
3399501,0
3399717,0
3400038,0
3400056,0
3400944,0
3401271,0
3401634,0
3401640,0
3401676,0
3401940,0
3405516,0
3405720,0
3405894,0
3406659,0
3407967,0
3407976,0
3407985,0
3408111,0
3408258,0
3408837,0
3409377,0
3410121,0
3410127,0
3410508,0
3410685,0
3410718,0
3410724,0
3410805,0
3410859,0
3411363,0
3411471,0
3411516,0
3412542,0
3412776,0
3412899,0
3413703,0
3413919,0
3413961,0
3415323,0
3415338,0
3415827,0
3416097,0
3416166,0
3416484,0
3417222,0
3417576,1
3418221,0
3418356,0
3419085,0
3419355,0
3419739,1
3420444,0
3420525,0
3420702,0
3420810,0
3420900,0
3421527,0
3421578,0
3422409,0
3423996,0
3424602,0
3424632,0
3425064,0
3425178,0
3425379,0
3428340,0
3428643,0
3428979,0
3429438,0
3429768,0
3430464,0
3430512,0
3430641,0
3430809,0
3431775,0
3432018,0
3432240,0
3432957,0
3433128,0
3433941,0
3434073,0
3434580,0
3434862,0
3435309,0
3435411,0
3435516,0
3435522,0
3435534,0
3435711,0
3436086,0
3436167,0
3436515,0
3436587,0
3437475,0
3437565,0
3438654,0
3438753,0
3439263,0
3439293,0
3439596,0
3440151,0
3440274,0
3440445,0
3440607,0
3440739,0
3442038,0
3442383,0
3442458,0
3442629,0
3442947,0
3442959,0
3443106,0
3443346,0
3443577,0
3443766,0
3444132,0
3444378,1
3444849,0
3445047,0
3445677,0
3445926,0
3446223,0
3446565,0
3446952,0
3448164,0
3448212,0
3448365,0
3448494,0
3448605,0
3448830,0
3449403,0
3450189,0
3450378,0
3450483,0
3450489,0
3450537,0
3450756,0
3451071,0
3451935,0
3452178,0
3452301,0
3452529,0
3452751,0
3452940,0
3453099,0
3453177,0
3453378,0
3454005,0
3455841,0
3459024,0
3459420,0
3459786,0
3460185,0
3460299,0
3460443,0
3460512,1
3460572,0
3460707,0
3460740,0
3460836,0
3461079,0
3461121,0
3461172,0
3461397,0
3461466,0
3461511,0
3461586,0
3461793,0
3462003,0
3462282,0
3463044,0
3463287,0
3463296,0
3463539,0
3463707,0
3464376,0
3464421,0
3464454,0
3464511,0
3464541,0
3464760,0
3465171,0
3465264,0
3465468,1
3465489,0
3465552,0
3465603,0
3465627,0
3465654,0
3466749,0
3466764,0
3466968,0
3467190,0
3467373,0
3467433,0
3467667,0
3468294,0
3468297,0
3469506,0
3469710,0
3469878,0
3469905,0
3470082,1
3470568,0
3470697,0
3470769,0
3470964,0
3471270,0
3471648,0
3471783,0
3472257,0
3472395,0
3473358,0
3473478,0
3473568,0
3473679,0
3473988,0
3474735,0
3475344,0
3475359,0
3475428,0
3475929,0
3476541,0
3476706,0
3478248,0
3478455,0
3478470,0
3478830,0
3479385,0
3479559,0
3479640,0
3479823,0
3479916,0
3480120,0
3481494,0
3481581,0
3481833,0
3481845,0
3482391,0
3482502,0
3482697,0
3483087,0
3483111,0
3483171,0
3483672,0
3483711,0
3484503,0
3484545,0
